[08-09 19:31] finish watcher started (target 40 base + 40 ft)
[08-10 09:02] base=37/40 ft=38/40 | queue: thunder=5 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 09:17] base=37/40 ft=38/40 | queue: thunder=5 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 09:32] base=37/40 ft=38/40 | queue: thunder=5 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 09:47] base=37/40 ft=38/40 | queue: thunder=5 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 10:02] base=38/40 ft=38/40 | queue: thunder=4 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 10:17] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 10:32] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 10:47] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 11:02] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 11:17] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 11:32] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 11:47] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 12:02] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 12:17] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 12:32] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 12:47] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 13:02] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 13:17] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 13:32] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 13:47] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 14:02] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 14:17] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 14:32] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 14:47] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 15:02] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 15:17] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-10 15:32] base=39/40 ft=38/40 | queue: thunder=3 backfill=0 | rank curves: r64=6/6 r128=4/6
